ID	father	mother	sex	line	treat	d8weight	d21weight	d36weight	d78weight	age1stegg	eggNumber	batch
7132	5827	5901	M	B	Genistein	39	163	252	369			1
1994	5774	5937	M	B	5Aza	42	162	250	369			2
6943	5793	5711	F	B	Bisphenol	38.7	152	226	371	56	15	1
1610	5856	5838	M	B	Bisphenol	37	167	261	371			2
7158	5729	5949	M	B	Genistein	42	154	244	371			1
2185	5868	5760	F	B	Control	21	166	259	372	54	1	2
6757	5781	5701	M	B	5Aza	44	176	268	372			1
2204	5807	5891	M	B	Control	48	176	257	372			2
6963	5761	5734	F	B	Bisphenol	35	156	244	373	52	17	1
6619	5773	5748	M	B	IC	44	159	236	373			1
6775	5719	5708	F	B	5Aza	44	170	248	374	56	17	1
6608	5744	5806	M	B	IC	49	189	270	374			1
1651	5941	5904	F	B	Bisphenol	38	144	230	375	54	21	2
1842	5885	5805	M	B	Genistein	38	142	225	375			2
1378	5781	5701	M	B	IC	47	188	272	375			2
6626	5897	5899	M	B	IC	42.6	161	251	376			1
7164	5917	5940	M	B	Genistein	44	164	238	376			1
2018	5933	5715	F	B	5Aza	35	144	236	377	55	19	2
2207	5878	5728	M	B	Control	47	170	280	377			2
7182	5864	5947	M	B	Genistein	47	184	270	377			1
6940	5873	5764	F	B	Bisphenol	39.5	160	266	378	54	10	1
2182	5867	5863	F	B	Control	37	150	253	378	52	24	2
2038	5822	5778	M	B	5Aza	42	167	277	378			2
6564	5795	5871	M	B	IC	45	176	269	378			1
1656	5897	5899	F	B	Bisphenol	41	166	255	379	50	26	2
2198	5808	5857	M	B	Control	40	168	255	379			2
2029	5858	5740	M	B	5Aza	42	170	256	379			2
1650	5783	5782	M	B	Bisphenol	45	186	277	379			2
6770	5826	5924	F	B	5Aza	38.3	153	252	381	55	13	1
6570	5794	5766	F	B	IC	37	160	223	382	58	1	1
1638	5917	5940	F	B	Bisphenol	38	152	247	382	53	23	2
7184	5822	5778	F	B	Genistein	39.7	161	243	382			1
2214	5772	5780	M	B	Control	48	183	277	382			2
7374	5788	5896	M	B	Control	50	185	280	382			1
2002	5855	5703	F	B	5Aza	38	155	283	383	52	25	2
1602	5774	5937	M	B	Bisphenol	35	162	226	383			2
6754	5795	5871	M	B	5Aza	46.8	177	252	383			1
2202	5919	5876	M	B	Control		171		383			2
2208	5799	5907	F	B	Control	43	177	262	384	58	17	2
7157	5933	5715	F	B	Genistein	38	156	219	384	55	18	1
2015	5772	5780	F	B	5Aza	39	164	259	384	52	24	2
6934	5747	5801	F	B	Bisphenol	32.8	136	222	384			1
2192	5943	5887	M	B	Control	37	158	253	384			2
1429	5888	5842	M	B	IC	39	171	272	384			2
2025	5917	5940	M	B	5Aza	39	150	254	384			2
2188	5794	5766	M	B	Control	34	148	257	385			2
6918	5827	5901	M	B	Bisphenol	41.9	174	273	385			1
1868	5858	5740	M	B	Genistein	43	183	273	385			2
1396	5878	5728	M	B	IC	45	173	263	385			2
7387	5933	5715	F	B	Control	44	170	255	387	54	17	1
1848	5799	5907	F	B	Genistein	42	159	243	387	60	17	2
6612	5719	5708	F	B	IC	46	185	255	387	53	18	1
2036	5791	5875	F	B	5Aza	33	139	238	387	54	22	2
2175	5839	5810	F	B	Control	34	156	245	387			2
1823	5771	5834	M	B	Genistein	35	162	291	387			2
6916	5890	5912	M	B	Bisphenol	40	173	267	387			1
2009	5788	5896	M	B	5Aza	43	172	269	387			2
1637	5917	5940	M	B	Bisphenol	40	163	241	388			2
