id	cage	line	date	hour	batch	count
7284	34	A	13/12/2016	11	1	1
7284	34	A	14/12/2016	10	1	1
7284	34	A	15/12/2016	11	1	1
6654	35	DD	23/11/2016	9	1	1
6654	35	DD	24/11/2016	8	1	1
6654	35	DD	25/11/2016	9	1	1
6654	35	DD	26/11/2016	11	1	1
6654	35	DD	27/11/2016	11	1	1
6654	35	DD	28/11/2016	9	1	1
6654	35	DD	29/11/2016	14	1	1
6654	35	DD	30/11/2016	10	1	1
6654	35	DD	01/12/2016	11	1	1
6654	35	DD	02/12/2016	8	1	1
6654	35	DD	03/12/2016	9	1	1
6654	35	DD	04/12/2016	9	1	1
6654	35	DD	05/12/2016	9	1	1
6654	35	DD	06/12/2016	11	1	1
6654	35	DD	08/12/2016	12	1	1
6654	35	DD	08/12/2016	13	1	1
6654	35	DD	10/12/2016	9	1	1
6654	35	DD	11/12/2016	9	1	1
6654	35	DD	12/12/2016	9	1	1
6654	35	DD	13/12/2016	10	1	1
6654	35	DD	13/12/2016	11	1	1
6654	35	DD	14/12/2016	10	1	1
6654	35	DD	15/12/2016	11	1	1
7458	36	DD	02/12/2016	8	1	1
7458	36	DD	03/12/2016	9	1	1
7458	36	DD	04/12/2016	9	1	1
7458	36	DD	05/12/2016	9	1	1
7458	36	DD	06/12/2016	11	1	1
7458	36	DD	07/12/2016	9	1	1
7458	36	DD	08/12/2016	13	1	1
7458	36	DD	09/12/2016	13	1	1
7458	36	DD	12/12/2016	9	1	1
7458	36	DD	13/12/2016	11	1	1
7458	36	DD	13/12/2016	13	1	1
7458	36	DD	15/12/2016	11	1	1
6705	37	S+	25/11/2016	8	1	1
6705	37	S+	25/11/2016	9	1	1
6705	37	S+	26/11/2016	11	1	1
6705	37	S+	27/11/2016	11	1	1
6705	37	S+	28/11/2016	9	1	1
6705	37	S+	29/11/2016	14	1	1
6705	37	S+	30/11/2016	10	1	1
6705	37	S+	01/12/2016	11	1	1
6705	37	S+	02/12/2016	8	1	1
6705	37	S+	03/12/2016	9	1	1
6705	37	S+	04/12/2016	9	1	1
6705	37	S+	05/12/2016	9	1	1
6705	37	S+	06/12/2016	11	1	1
6705	37	S+	08/12/2016	13	1	1
6705	37	S+	09/12/2016	13	1	1
6705	37	S+	10/12/2016	9	1	1
6705	37	S+	11/12/2016	9	1	1
6705	37	S+	12/12/2016	9	1	1
6705	37	S+	13/12/2016	11	1	1
6705	37	S+	14/12/2016	10	1	1
6705	37	S+	15/12/2016	11	1	1
6649	38	DD	23/11/2016	8	1	1
6649	38	DD	23/11/2016	9	1	1
6649	38	DD	24/11/2016	8	1	1
6649	38	DD	27/11/2016	11	1	1
6649	38	DD	28/11/2016	9	1	1
6649	38	DD	29/11/2016	14	1	1
6649	38	DD	30/11/2016	9	1	1
6649	38	DD	30/11/2016	10	1	1
6649	38	DD	02/12/2016	8	1	1
6649	38	DD	03/12/2016	9	1	1
6649	38	DD	04/12/2016	9	1	1
6649	38	DD	05/12/2016	9	1	1
